id(unique),floor,layer,name,words,desc,images,
gate_nishi_hall_0,0,main,西高会館ゲート,,,gate_nishi_hall_0-7BfkEqJ3.webp,gate_nishi_hall_0-aCc5V363.webp
gate_nishi_hall_1,0,main,西高会館ゲート,,,gate_nishi_hall_1-7mVe6x20.webp,
straight_course,0,main,直線トラック,,,straight_course-k0DNpn6R.webp,
students_entrance,0,main,生徒昇降口,,,,
teachers_entrance,0,main,職員昇降口,,,,
the_student_council_room,0,main,生徒会室,,,,
janitorial_room,0,main,用務室,,,,
corporate_planning_office,0,main,経営企画室,,,,
principals_office,0,main,校長室,,,,
health_room,0,main,保健室,,,,
health_consultation_room,0,main,保健相談室,,,,
japanese_style_room,0,main,和室,,,,
home_economics_room,0,main,家庭科教室,,,,
home_economics_preparation_room,0,main,家庭科準備室,,,,
food_room,0,main,食物教室,,,,
pc_room,0,main,PC室,,,,
pc_preparation_room,0,main,PC準備室,,,,
ll_room,0,main,LL室,,,,
ll_preparation_room,0,main,LL準備室,,,,
office_warehouse,0,main,事務倉庫,,,,
stairs_gym_passage_1f_0,0,main,階段(体育館脇通路),,,,
stairs_gym_passage_1f_1,0,main,階段(体育館脇通路),,,,
stairs_gym_passage_2f_0,1,main,階段(体育館脇通路),,,,
stairs_gym_passage_2f_1,1,main,階段(体育館脇通路),,,,
stairs_pool_1f,0,main,階段(プール脇),,,,
stairs_pool_2f,1,main,階段(プール脇),,,,
stairs_class_center_1f,0,main,階段(教室棟中央),,,,
stairs_class_center_2f,1,main,階段(教室棟中央),,,,
stairs_class_center_3f,2,main,階段(教室棟中央),,,,
stairs_class_east_1f,0,main,階段(教室棟東),,,,
stairs_class_east_2f,1,main,階段(教室棟東),,,,
stairs_class_east_3f,2,main,階段(教室棟東),,,,
stairs_class_west_1f,0,main,階段(教室棟西),,,,
stairs_class_west_2f,1,main,階段(教室棟西),,,,
stairs_class_west_3f,2,main,階段(教室棟西),,,,
stairs_management_west_1f,0,main,階段(管理棟西),,,,
stairs_management_west_2f,1,main,階段(管理棟西),,,,
stairs_management_west_3f,2,main,階段(管理棟西),,,,
stairs_management_center_1f,0,main,階段(管理棟中央),,,,
stairs_management_center_2f,1,main,階段(管理棟中央),,,,
stairs_management_center_3f,2,main,階段(管理棟中央),,,,
stairs_management_north_1f,0,main,階段(管理棟北),,,,
stairs_management_north_2f,1,main,階段(管理棟北),,,,
stairs_management_north_3f,2,main,階段(管理棟北),,,,
wc_pilotis,0,main,トイレ(ピロティ),,,,
wc_class_east_1f,0,main,トイレ(教室棟東),,,,
wc_class_east_2f,1,main,トイレ(教室棟東),,,,
wc_class_east_3f,2,main,トイレ(教室棟東),,,,
wc_class_west_1f,0,main,トイレ(教室棟西),,,,
wc_class_west_2f,1,main,トイレ(教室棟西),,,,
wc_class_west_3f,2,main,トイレ(教室棟西),,,,
wc_management_west_1f,0,main,トイレ(管理棟西),,,,
wc_management_west_2f,1,main,トイレ(管理棟西),,,,
wc_management_west_3f,2,main,トイレ(管理棟西),,,,
wc_management_center_1f,0,main,トイレ(管理棟中央),,,,
wc_management_center_2f,1,main,トイレ(管理棟中央),,,,
wc_management_center_3f,2,main,トイレ(管理棟中央),,,,
wc_management_north_1f,0,main,トイレ(管理棟北),,,,
wc_management_north_2f,1,main,トイレ(管理棟北),,,,
wc_management_north_3f,2,main,トイレ(管理棟北),,,,
wc_management_center_accessible_1f,0,main,バリアフリートイレ(管理棟北),,,,
wc_management_center_accessible_2f,1,main,バリアフリートイレ(管理棟北),,,,
wc_management_center_accessible_3f,2,main,バリアフリートイレ(管理棟北),,,,
ev_1f,0,main,エレベーター,,,,
ev_2f,1,main,エレベーター,,,,
ev_3f,2,main,エレベーター,,,,
2a,1,main,2A,普通教室 クラス 2年 A組,,,
2b,1,main,2B,普通教室 クラス 2年 B組,,,
2c,1,main,2C,普通教室 クラス 2年 C組,,,
2d,1,main,2D,普通教室 クラス 2年 D組,,,
2e,1,main,2E,普通教室 クラス 2年 E組,,,
2f,1,main,2F,普通教室 クラス 2年 F組,,,
2g,1,main,2G,普通教室 クラス 2年 G組,,,
2h,1,main,2H,普通教室 クラス 2年 H組,,,
clubroom_building_0_2f_stairs_0,1,main,階段[部室棟],,,,
clubroom_building_0_2f_stairs_1,1,main,階段[部室棟],,,,
clubroom_building_0_2f_room_0,1,main,イラスト研究部[部室棟],,,,
clubroom_building_0_2f_room_1,1,main,新聞部[部室棟],,,,
clubroom_building_0_2f_room_2,1,main,文芸部[部室棟],,,,
clubroom_building_0_2f_room_3,1,main,管弦楽部[部室棟],,,,
clubroom_building_0_2f_room_4,1,main,CR東日本[部室棟],,,,
clubroom_building_0_2f_room_5,1,main,宇宙研究部[部室棟],,,,
clubroom_building_0_2f_room_6,1,main,ワンダーフォーゲル部[部室棟],,,,
clubroom_building_0_2f_room_7,1,main,囲碁将棋部[部室棟],,,,
clubroom_building_0_2f_room_8,1,main,女子硬式テニス部[部室棟],,,,
clubroom_building_0_2f_room_9,1,main,ソフトテニス部(女子)[部室棟],,,,
audiovisual_hall_2f_monitor_room,1,main,モニタールーム,,,,
audiovisual_hall_2f_stairs_0,1,main,階段[視聴覚ホール],,,,
audiovisual_hall_2f_stairs_1,1,main,階段[視聴覚ホール],,,,
audiovisual_hall_2f_ramp_0,1,main,スロープ[視聴覚ホール],,,,
audiovisual_hall_2f_ramp_1,1,main,スロープ[視聴覚ホール],,,,
audiovisual_hall_2f,1,main,視聴覚ホール,,,,
audiovisual_hall_2f_stage,1,main,ステージ[視聴覚ホール],舞台,,,
audiovisual_hall_2f_stage_side_0,1,main,ステージ脇[視聴覚ホール],舞台,,,
audiovisual_hall_2f_stage_side_1,1,main,ステージ脇[視聴覚ホール],舞台,,,
nishi_hall_2f_stairs,1,main,階段[西高会館],,,,
nishi_hall_2f_outdoor_stairs,1,main,外階段[西高会館],,,,
nishi_hall_2f_office,1,main,西高会・同窓会事務室[西高会館],,,,
nishi_hall_2f_wc_man_0,1,main,男子トイレ1[西高会館],,,,
nishi_hall_2f_wc_man_1,1,main,男子トイレ2[西高会館],,,,
nishi_hall_2f_changing_room_man,1,main,男子更衣室[西高会館],,,,
nishi_hall_2f_shower_man,1,main,男子シャワー[西高会館],,,,
nishi_hall_2f_meeting_room_0,1,main,会議室1[西高会館],,,,
nishi_hall_2f_meeting_room_1,1,main,会議室2[西高会館],,,,
gym_2f_teachers,1,main,体育教官室[体育館],,,,
gym_2f_stairs,1,main,階段[体育館],,,,
gym_2f_changing_room_man,1,main,男子更衣室[体育館],,,,
gym_2f_changing_room_woman,1,main,女子更衣室[体育館],,,,
gym_2f_catwalk,1,main,キャットウォーク[体育館],,,,
gym_2f_passage_0,1,main,通路[体育館],舞台,,,
gym_2f_passage_1,1,main,通路[体育館],舞台,,,
gym_2f_stage_broadcast_room,1,main,放送室[体育館],舞台,,,
gym_2f_stage_waiting_room,1,main,控え室[体育館],舞台,,,
gym_2f_stage_stairs_0,1,main,ステージ脇階段[体育館],舞台,,,
gym_2f_stage_stairs_1,1,main,ステージ脇階段[体育館],舞台,,,
martial_arts_field_2f_stairs,1,main,階段[武道場],格技棟,,,
martial_arts_field_2f_teachers,1,main,体育教官室[武道場],格技棟,,,
martial_arts_field_2f_changing_man,1,main,男子更衣室[武道場],格技棟,,,
martial_arts_field_2f_changing_woman,1,main,女子更衣室[武道場],格技棟,,,
pool,1,main,プール,,,,
pool_changing_room_man,1,main,男子更衣室[プール],,,,
pool_changing_room_woman,1,main,女子更衣室[プール],,,,
social_studies_room_2nd,1,main,第二社会科教室,第2社会科教室 第二社教 第2社教,,,
social_studies_preparation_room,1,main,社会科準備室,,,,
social_studies_room_1st,1,main,第一社会科教室,第1社会科教室 第一社教 第1社教,,,
printing_room,1,main,印刷室,,,,
teachers_room,1,main,職員室,,,,
broadcast_room,1,main,放送室,,,,
career_room,1,main,進路室,,,,
consultation_room_1st,1,main,第一生徒相談室,第1生徒相談室 第一生相 第1生相,,,
consultation_room_2nd,1,main,第二生徒相談室,第2生徒相談室 第二生相 第2生相,,,
special_room_2nd,1,main,第二特別教室,第2特別教室 第二特教 第2特教,,,
art_material_room,1,main,美術資料室,,,,
art_room,1,main,美術教室,,,,
art_preparation_room,1,main,美術準備室,,,,
craft_preparation_room,1,main,工芸準備室,,,,
craft_room,1,main,工芸教室,,,,
craft_warehouse,1,main,工芸倉庫,,,,
changing_room_1,1,main,更衣室1,,,,
changing_room_3,1,main,更衣室3,,,,
document_preparation_room,1,main,資料準備室,,,,
meeting_room,1,main,会議室,,,,
english_preparation_room,1,main,英語科準備室,,,,
japanese_preparation_room,1,main,国語科準備室,,,,
mathematics_preparation_room,1,main,数学科準備室,,,,
3a,2,main,3A,普通教室 クラス 3年 A組,,,
3b,2,main,3B,普通教室 クラス 3年 B組,,,
3c,2,main,3C,普通教室 クラス 3年 C組,,,
3d,2,main,3D,普通教室 クラス 3年 D組,,,
3e,2,main,3E,普通教室 クラス 3年 E組,,,
3f,2,main,3F,普通教室 クラス 3年 F組,,,
3g,2,main,3G,普通教室 クラス 3年 G組,,,
3h,2,main,3H,普通教室 クラス 3年 H組,,,
nishi_hall_3f_stairs,2,main,階段[西高会館],,,,
nishi_hall_3f_outdoor_stairs,2,main,外階段[西高会館],,,,
nishi_hall_3f_wc_woman,2,main,女子トイレ[西高会館],,,,
nishi_hall_3f_changing_room_woman,2,main,女子更衣室[西高会館],,,,
nishi_hall_3f_shower_woman,2,main,女子シャワー[西高会館],,,,
nishi_hall_3f_reference_room,2,main,資料室[西高会館],,,,
nishi_hall_3f_japanese_style_room_0,2,main,和室1[西高会館],,,,
nishi_hall_3f_japanese_style_room_1,2,main,和室2[西高会館],,,,
nishi_hall_3f_japanese_style_room_2,2,main,和室3[西高会館],,,,
physics_experiment_room,2,main,物理実験室,,,,
physics_preparation_room,2,main,物理準備室,,,,
physics_lecture_room,2,main,物理講義室,,,,
chemistry_lecture_room,2,main,化学講義室,,,,
chemistry_preparation_room,2,main,化学準備室,,,,
chemistry_experiment_preparation_room,2,main,化学実験準備室,,,,
chemistry_experiment_room,2,main,化学実験室,,,,
practice_room,2,main,練習室,,,,
musical_instrument_storage,2,main,楽器庫,,,,
music_room,2,main,音楽教室,,,,
music_preparation_room,2,main,音楽準備室,,,,
special_room_1st,2,main,第一特別教室,第1特別教室 第一特教 第1特教,,,
biology_preparation_room,2,main,生物準備室,,,,
biology_room,2,main,生物室,,,,
library,2,main,図書館,,,,
book_vault,2,main,書庫,,,,
pta_printing_room,2,main,PTA印刷室,第一講義準備室,,,
laputa,2,main,ラピュタ,,,,
audiovisual_hall_3f_pinspot,2,main,ピンスポット,,,,
audiovisual_hall_3f_stairs,2,main,階段[視聴覚ホール],,,,
s80_2a_front,1,shinkan80,剣道部,,･素振り体験⚔️⚔️/n剣道部のアイドルの國吉ジェイソンを叩けます🤩🤩/n･人生劇場(映像)🔥🔥/n昨年記念祭3位を受賞した人生劇場｢陽炎｣が見れます！/n先輩への質問大歓迎‼️是非来てください！,s80_kendou.webp,
s80_2a_back,1,shinkan80,シブ楽隊,,「電気を使わない音楽」を特徴とする音楽同好会♪/nおしゃべりとかギター弾くとかしてます！,s80_sibugaku.webp,
s80_2b_front,1,shinkan80,CR東日本,,,,
s80_2b_back,1,shinkan80,歴史研究部,,,,
s80_2c_front,1,shinkan80,男子硬式テニス部,,3年生7人、2年生9人で、週5日活動しています！初心者〜上級者まで本気でテニスしたい方！来ようぜBro！,s80_dannsikousikitenisu.webp,
s80_2c_back,1,shinkan80,Nishi Flyer,,,,
s80_2d_front,1,shinkan80,水泳部,,夏は水泳、冬は陸トレ！経験者未経験者どちらも大歓迎(*⁰▿⁰*)【2D】で待ってます♪,s80_suiei.webp,
s80_2d_back,1,shinkan80,卓球部,,強い人、沢山います。火・水・木・土の週4活動、男女問わず大歓迎！卓球は素晴らしいスポーツです。,s80_takkyuu.webp,
s80_2e,1,shinkan80,備品貸し出し,,,,
s80_2f_front,1,shinkan80,女子硬式テニス部,,,,
s80_2f_back,1,shinkan80,茶道部,,ご入学おめでとうございます(⁠◍⁠•⁠ᴗ⁠•⁠◍⁠)/n茶道部は毎週金曜日に和室で楽しく活動しています。気軽に遊びに来てください！,s80_sadou.webp,
s80_2g_front,1,shinkan80,男子ハンドボール部,,ハンドボール部や競技の魅力を映像を交えて紹介します！ハンドボールをやったことがある人もやったことがない人もぜひ見にきてください！,s80_dannsihandoboru.webp,
s80_2g_back,1,shinkan80,演劇部,,,,
s80_2h_front,1,shinkan80,男子バスケットボール部,,,s80_dannsibasukettoboru.webp,
s80_2h_back,1,shinkan80,文芸部,,文芸部です！普段は部室などで様小説や詩を書いており、時には外部に依頼し、本格的な部誌を出版しています。団体発表は2Hにて！,s80_bunngei.webp,
s80_3a_front,2,shinkan80,ツョッカー。特撮研究会,,映像・アクションショー・部誌。特撮好きをはじめ、芝居やアクション、脚本や動画編集が好きな方もお待ちしています。,s80_tokusatu.webp,
s80_3a_back,2,shinkan80,西論会,,主に文系よりのお話しと西高のお話しをしています,s80_seironn.webp,
s80_3b_front,2,shinkan80,ソフトテニス部,,団体発表では、ソフテニ部特有の魅力を熱く語ります！質問も待ってます！/nソフテニの虜になっちゃえ〜〜！,s80_sohutotenisu.webp,
s80_3b_back,2,shinkan80,ディベート部,,競技ディベートは皆さんの想像とは一味違うかも。ぜひ遊びに来てください,s80_deibeto.webp,
s80_3c_front,2,shinkan80,ダンス部,,,,
s80_3c_back,2,shinkan80,陸上競技部,,人はなぜ陸上をするのか。この世の真理は何か…選手として、真理の探究者として今日も陸上部は走る。,s80_rikujoukyougi.webp,
s80_3d_front,2,shinkan80,女子バレーボール部,,女子バレーボール部です！週に4日ほど仲良く活動をしています。初心者でも経験者でもお待ちしています！,s80_josibareboru.webp,
s80_3d_back,2,shinkan80,男子バレーボール部,,,,
s80_3e_front,2,shinkan80,504,,プログラミングサークルです。少しでも興味をもった方は、ご気軽にどうぞ。,s80_504.webp,
s80_3e_back,2,shinkan80,かるた部,,団体発表は3E後方！札を好きなだけ払ってストレス発散＆ゲーム体験♪普段は保健室の奥、和室で活動中！,s80_karuta.webp,
